T,variant,run,time_ms
32,normal,1,0.336844
32,normal,2,0.515988
32,normal,3,0.545321
32,normal,4,0.504324
32,normal,5,0.481835
32,normal,6,0.504743
32,normal,7,0.500482
32,normal,8,0.478483
32,normal,9,0.524927
32,normal,10,0.479949
32,normal,11,0.535892
32,normal,12,0.454877
32,normal,13,0.490984
32,normal,14,0.652038
32,normal,15,0.507396
32,normal,16,0.501391
32,normal,17,0.274546
32,normal,18,0.264489
32,normal,19,0.489587
32,normal,20,0.693035
32,normal,21,0.450826
32,normal,22,0.49266
32,normal,23,0.515499
32,normal,24,0.462978
32,normal,25,0.511448
32,normal,26,0.680184
32,normal,27,0.785575
32,normal,28,0.520457
32,normal,29,0.486235
32,normal,30,0.521296
32,optimised,1,0.470661
32,optimised,2,0.376305
32,optimised,3,0.499784
32,optimised,4,0.606781
32,optimised,5,0.500203
32,optimised,6,0.526045
32,optimised,7,0.51026
32,optimised,8,0.682
32,optimised,9,0.486304
32,optimised,10,0.262114
32,optimised,11,0.647988
32,optimised,12,0.47953
32,optimised,13,0.521086
32,optimised,14,0.462
32,optimised,15,0.549581
32,optimised,16,0.507118
32,optimised,17,0.535333
32,optimised,18,0.459207
32,optimised,19,0.51494
32,optimised,20,0.665168
32,optimised,21,0.272521
32,optimised,22,0.502997
32,optimised,23,0.514311
32,optimised,24,0.519479
32,optimised,25,0.480019
32,optimised,26,0.478482
32,optimised,27,0.511587
32,optimised,28,0.527092
32,optimised,29,0.295917
32,optimised,30,0.4004
64,normal,1,0.588204
64,normal,2,0.546648
64,normal,3,0.591416
64,normal,4,0.675854
64,normal,5,0.594698
64,normal,6,0.583315
64,normal,7,0.584012
64,normal,8,0.599937
64,normal,9,0.604616
64,normal,10,0.643937
64,normal,11,0.574166
64,normal,12,0.768115
64,normal,13,0.819517
64,normal,14,0.538267
64,normal,15,0.59847
64,normal,16,0.579892
64,normal,17,0.564108
64,normal,18,0.562851
64,normal,19,0.943206
64,normal,20,0.569904
64,normal,21,0.790185
64,normal,22,0.780337
64,normal,23,0.66433
64,normal,24,0.587366
64,normal,25,0.591276
64,normal,26,0.676273
64,normal,27,0.673758
64,normal,28,0.3652
64,normal,29,0.600286
64,normal,30,0.619073
64,optimised,1,0.564946
64,optimised,2,0.676134
64,optimised,3,0.602939
64,optimised,4,0.779429
64,optimised,5,0.511866
64,optimised,6,0.587993
64,optimised,7,0.628571
64,optimised,8,0.611181
64,optimised,9,0.582826
64,optimised,10,0.739689
64,optimised,11,0.723486
64,optimised,12,0.692755
64,optimised,13,0.835651
64,optimised,14,0.550699
64,optimised,15,0.766438
64,optimised,16,0.329651
64,optimised,17,0.563549
64,optimised,18,0.763016
64,optimised,19,0.564597
64,optimised,20,0.557403
64,optimised,21,0.562362
64,optimised,22,0.653226
64,optimised,23,0.795074
64,optimised,24,0.67306
64,optimised,25,0.51501
64,optimised,26,0.485047
64,optimised,27,0.753657
64,optimised,28,0.573677
64,optimised,29,0.58953
64,optimised,30,0.782152
128,normal,1,0.935105
128,normal,2,0.860933
128,normal,3,0.677949
128,normal,4,0.667334
128,normal,5,0.749816
128,normal,6,0.751283
128,normal,7,0.722857
128,normal,8,0.716362
128,normal,9,0.485886
128,normal,10,0.714966
128,normal,11,0.923581
128,normal,12,0.74793
128,normal,13,0.848432
128,normal,14,0.736966
128,normal,15,0.92407
128,normal,16,0.689822
128,normal,17,0.721181
128,normal,18,0.698063
128,normal,19,0.667194
128,normal,20,0.499296
128,normal,21,0.683397
128,normal,22,0.726839
128,normal,23,0.693245
